L,P,frag,role,semantic_transfer,transfer_fraction,argmax_is_target,kl_from_base,kl_from_other,p_ansA,p_ansB,prop_cos_final,prop_distimprove_final
21,50,"
",assistant_prefix,1.933135986328125,0.06303342969659907,False,4.8740587238855585e-06,14.37854775641069,5.694512717377381e-07,0.9999912871642185,0.6907080411911011,0.1725449413061142
20,50,"
",assistant_prefix,1.614105224609375,0.052630849002807185,False,5.4801549570287335e-06,14.697578459392444,4.1390723833339785e-07,0.9999907196195079,0.7168458104133606,0.24209170043468475
12,26,4,operand,0.7918281555175781,0.02581900328047233,False,8.728565823059335e-07,15.519854026072965,1.818828977933589e-07,0.9999889632824271,0.4094524085521698,0.060116447508335114
15,26,4,operand,0.6471347808837891,0.021101011518875418,False,2.2081613091152207e-06,15.664550052207417,1.5738047891456515e-07,0.9999855828310236,0.43735751509666443,0.08019334822893143
13,26,4,operand,0.6330471038818359,0.020641657079161272,False,1.277507103411481e-06,15.678635917890997,1.5517920453627365e-07,0.9999875610397783,0.4439578950405121,0.07329568266868591
16,26,4,operand,0.6159439086914062,0.02008397616108427,False,1.9859623215237693e-06,15.695740569405134,1.5254745330221775e-07,0.9999858657104966,0.4713869094848633,0.08440500497817993
17,26,4,operand,0.6004524230957031,0.019578847978122142,False,2.086962540405027e-06,15.711232270652584,1.5020243222721668e-07,0.9999855669272498,0.49096575379371643,0.08926577866077423
14,26,4,operand,0.5955162048339844,0.019417893565722977,False,1.7287947743157904e-06,15.71616771363491,1.4946295812455855e-07,0.9999864431088484,0.46549874544143677,0.0829298347234726
19,26,4,operand,0.5735454559326172,0.018701497168340468,False,2.575436159638335e-06,15.738139994202173,1.4621470257150488e-07,0.9999847086910186,0.4185727834701538,0.07226859778165817
19,50,"
",assistant_prefix,0.5299587249755859,0.017280272194559305,False,8.362459328503997e-07,15.781722295711049,1.3997929487974273e-07,0.9999898504945169,0.061597153544425964,0.022624192759394646
18,26,4,operand,0.47593116760253906,0.015518605005371262,False,1.894204150147901e-06,15.83575274202963,1.326167299691264e-07,0.9999861284458799,0.41503632068634033,0.06929105520248413
18,50,"
",assistant_prefix,0.45978736877441406,0.014992206958019444,False,8.949190358569795e-07,15.851893595434797,1.3049345335822427e-07,0.9999897484079411,0.14987364411354065,0.09609411656856537
